DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2012,98.05,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2013,99.38,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2014,99.81,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2016,100.23,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2017,101.78,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2018,103.56,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2019,104.80,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2020,105.06,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2021,107.78,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2022,116.82,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2023,123.15,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2024,126.07,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,EA,2025,128.75,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2012,98.33,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2013,99.31,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2014,99.91,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2016,100.31,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2017,101.47,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2018,103.60,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2019,104.95,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2020,105.50,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2021,107.68,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2022,114.04,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2023,120.50,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2024,123.29,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,FR,2025,124.43,,
